id,projectId,parentProjectId,domain,primaryDomain,relatedDomains,deploymentLevel,title,year,organization,problem,approach,devices,evidenceLevel,evidence,paper_titles,paper_urls,paper_source_types,code_names,code_urls,code_statuses,code_artifact_types,code_access,data,maturity,limitations,tags
CTL-01,CTL-01,,control,control,,,TCV DeepMind 深度强化学习磁控制,2022,Google DeepMind、EPFL Swiss Plasma Center,传统磁控制需要针对不同等离子体形状逐项建模和调参，难以用统一控制器处理多线圈、多目标和新形状。,在校准的 TCV 模拟器中以非对称 actor–critic 和域随机化训练策略，直接以 19 个线圈电压为动作，并以 10 kHz 在装置上零样本迁移。,TCV：伸长、负三角度、snowflake、双液滴等多种目标形状 | 未验证于 DIII-D、JET 或反应堆磁体系统,E4,Nature 论文报告全控制窗内等离子体电流 RMSE 约 0.62 kA（0.47%）、形状 RMSE 约 0.75 cm（2.9%），并维持约 200 ms 双液滴；策略以 10 kHz 实时运行。论文明确不保证避开破裂。,Magnetic control of tokamak plasmas through deep reinforcement learning,https://www.nature.com/articles/s41586-021-04301-9,,TCV 训练环境、策略权重与装置接口 | Acme, | https://github.com/google-deepmind/acme,not-public | official-enabling, | , | ,论文源数据有限公开；完整 TCV 训练模拟器和放电控制日志非公开一键数据集。,真实装置闭环示范，科学成熟度高；工程安全认证和跨装置泛化仍不足。,模拟器偏差、动作/传感器映射和线圈约束高度装置特定；未覆盖破裂保护、硬实时故障模式、形式化安全或全脉冲自治。,TCV | 强化学习 | 磁控制 | sim-to-real | 等离子体形状 | 实时控制
CTL-04,CTL-04,,control,control,,,TCV predict-first 神经状态空间模型与鲁棒 ramp-down 轨迹学习,2025,MIT PSFC、EPFL/TCV 等,高性能等离子体降电流阶段容易触碰约束和失稳边界，而昂贵实验只允许少量试错。,从历史放电学习神经状态空间模型，用模型集合表达动力学不确定性，再以强化学习搜索对模型误差鲁棒的降电流轨迹，先预测后实验。,TCV：311 个脉冲的数据集，其中仅少量为目标高性能状态,E2,论文报告预测优先实验在统计指标上优于基线，并实现相对基线约 20% 的初始等离子体电流提升后仍完成 ramp-down；属于有限范围的实验外推。,Learning plasma dynamics and robust rampdown trajectories with predict-first experiments at TCV,https://www.nature.com/articles/s41467-025-63917-x,,TCV 神经状态空间模型、策略和训练环境,,not-public,,,论文提供源数据/补充材料，但完整 311 脉冲处理数据与控制接口并非一键公共基准。,真实装置的预测优先场景优化示范。,高性能样本很少，适用边界和不确定性覆盖有限；轨迹级成功不等同于全状态在线反馈与安全认证。,TCV | ramp-down | 神经状态空间模型 | 鲁棒强化学习 | predict-first
aux-west-realtime-thermal-ai-pcs,aux-west-realtime-thermal-ai-pcs,,diagnostics,diagnostics,control | auxiliary,,WEST 红外壁监视 AI：从热事件识别到加热系统闭环指令,2025,CEA Institute for Magnetic Fusion Research (IRFM),长脉冲 WEST 的红外视频量巨大，偏滤器/第一壁热点、电弧和反射难以由操作员实时区分，延迟可能造成 PFC 或天线损伤。,在 Wall Monitoring System 配置 NVIDIA A40 GPU，将热事件检测/跟踪、钨偏滤器 strike-line characterization 和紧凑 CNN 电弧检测组合为模块化实时流水线，并与 Plasma Control System/加热天线接口。,WEST tokamak C9 campaign | WEST tungsten divertor and in-vessel components | WEST heating antennae | WEST Wall Monitoring System / PCS,E4,论文报告热事件/打击线算法以 30 fps、电弧 CNN 超过 100 fps 运行，在 WEST C9 大量红外视频上首次测试；并直接报告 AI 图像分析通过 PCS 向加热天线发送指令，是装置闭环实验级证据。,"Real-time monitoring system for detection and characterization of thermal events on WEST Tokamak: Implementation and first results | Deep learning-based process for the automatic detection, tracking, and classification of thermal events on the in-vessel components of fusion reactors",https://doi.org/10.1016/j.fusengdes.2025.114960 | https://doi.org/10.1016/j.fusengdes.2023.113636, | ,WEST WMS thermal-event AI and PCS integration,,not-public,,,论文明确声明作者无权共享 WEST 红外数据；专家标注库和本地事件数据库不公开。,真实长脉冲托卡马克上的实时部署与有限闭环动作示范，是聚变工程 AI 中少见的 E4 工作。,尚非核安全级机器保护；误报受发射率、反射、相机漂移和新型热事件影响；需要独立冗余、失效安全逻辑、跨 campaign 再验证与严格变更控制。,WEST | infrared | PFC | thermal event | Faster R-CNN | CNN | real-time | closed-loop
aux-east-intellimik-quench,aux-east-intellimik-quench,,diagnostics,diagnostics,control | auxiliary,,IntelliMIK：EAST 超导磁体神经网络感应电压补偿与失超检测,2025,"Hefei Institutes of Physical Science, Chinese Academy of Sciences；University of Science and Technology of China",CS/PF 电流、等离子体和真空室涡流耦合产生 kV 级感应电压，传统 CWW+MIK 补偿后峰值噪声仍可能越过 500 mV/1 s 失超阈值并误判，HTS 的更低阈值使问题加剧。,用历史 EAST 信号训练神经网络替代二级 Inductive Noise Realtime Calculation，保留 co-wound wire 一级补偿，实时估计并消除非线性感应电压，提取电阻性 quench voltage。,EAST superconducting TF/CS/PF magnet quench-detection system | 中国下一代聚变装置 HTS CS magnets（会议提出的迁移目标）,E3,论文报告 IntelliMIK 已在 EAST 最近 2000 炮（141001–143000）中在线运行，并显著降低感应电压补偿后的噪声；但 EAST 尚未发生真实磁体失超，阳性检出仅通过向历史信号人工注入模拟失超电压进行验证。因此 E3 只表示在线感应电压补偿已部署，不代表真实失超 true-positive 或自动安全卸能已验证。,IntelliMIK: a novel intelligent quench detection method for fusion devices,https://doi.org/10.1088/1741-4326/adb0dd,,IntelliMIK,,not-public,,,EAST 历史训练数据与 2000 炮运行评估数据未公开。,真实超导托卡马克上经 2000 炮运行考核的在线感应电压补偿功能；真实失超检出仍处于合成信号验证阶段。,EAST 没有真实失超阳性样本，当前 true-positive 证据来自人工注入的模拟失超电压；公开证据不足以认定安全完整性等级或自动卸能闭环，跨磁体、HTS 工况、漂移监视与 fail-safe 回退仍需证明。,EAST | superconducting magnet | quench | IntelliMIK | neural network | induced voltage | real-time
DIA-07,DIA-07,,diagnostics,diagnostics,,,RTCAKENN：DIII-D 实时动力学剖面重建,2024,General Atomics、Princeton/PPPL 等,高质量 CAKE 动力学重建依赖离线多诊断分析且延迟高，实时控制需要快速、能容忍部分诊断缺失的剖面。,用 MLP/一维 CNN 的编码—解码结构学习七类 CAKE 剖面，并在训练时模拟输入 dropout，使其在不直接使用实时 Thomson/CER 输入时仍能估计动力学状态。,DIII-D：实时 Plasma Control System,E3,Nuclear Fusion 论文报告模型已接入 DIII-D PCS，推理低于 8 ms；相对既有实时替代方案更接近 CAKE 输出，并测试了部分输入丢失。,Machine learning-based real-time kinetic profile reconstruction in DIII-D,https://doi.org/10.1088/1741-4326/ad142f,,RTCAKENN 模型、权重和训练管线 | keras2c, | https://github.com/PlasmaControl/keras2c,not-public | official-enabling, | , | ,完整 DIII-D/CAKE 标签和实时诊断数据未公开。,已在装置 PCS 中运行的实时状态估计器。,继承 CAKE 教师偏差；合成 dropout 不能覆盖全部共因故障，且剖面可信度、OOD 检测和跨机迁移仍不足。,DIII-D | CAKE | 剖面重建 | 实时诊断 | PCS | 输入缺失
aux-diiid-realtime-magnetic-sensor-ae,aux-diiid-realtime-magnetic-sensor-ae,,diagnostics,diagnostics,auxiliary | control,,DIII-D 等离子体控制系统中的实时磁传感器自编码器异常检测,2022,DIII-D National Fusion Facility；General Atomics,磁通环和磁探针故障会污染平衡重建与等离子体位置/形状控制，必须在控制周期内识别异常传感器。,训练 autoencoder 学习磁诊断信号正常相关结构，以重构残差检测/定位异常，并将推理实现到 DIII-D Plasma Control System。,DIII-D tokamak | DIII-D magnetic flux loops and magnetic probes | DIII-D Plasma Control System,E3,论文标题、摘要和 DOE/OSTI 记录直接说明系统在 DIII-D PCS 上实时实现；证据支持在线监视部署，但未证明算法自动重构控制输入或闭环容错动作。,Real-Time Magnetic Sensor Anomaly Detection Using Autoencoder Neural Networks on the DIII-D Tokamak,https://doi.org/10.1109/TPS.2022.3181548,,DIII-D PCS autoencoder anomaly detector,,not-public,,,DIII-D 磁诊断脉冲与注入/观测异常数据未作为公开数据集发布。,已进入真实托卡马克实时控制软件栈的工程监视功能。,论文证据不等于 safety-certified fault-tolerant control；跨 campaign、传感器更换、等离子体场景漂移与多故障同时发生的稳健性仍需持续监控。,DIII-D | magnetic diagnostics | sensor fault | autoencoder | real-time | PCS
DIA-11,DIA-11,,diagnostics,diagnostics,,,FusionMAE：HL-3 多诊断自监督预训练基础模型,2026,核工业西南物理研究院、HL-3、清华/SUNIST-2 等合作团队,聚变诊断多、采样异构、缺测普遍，针对每一任务单独训练模型造成接口碎片化，缺少可复用的等离子体状态表征。,以 Transformer masked autoencoder 在 88 路、12 类诊断的同步时间片上进行随机通道/系统掩码重建，形成 256 维潜在状态，再适配破裂预测、EFIT-NN、信号修复和等离子体演化等下游任务。,HL-3：2022–2025 年 2445 个放电，1950 个开发、495 个测试 | SUNIST-2：补充跨装置/小装置验证,E2,Communications Physics 报告无掩码平均 Pearson 相关约 98.7%，逐通道掩码约 97.2%，逐诊断系统掩码约 95.3%；14M 参数模型在 A100 上约 10 小时训练、约 4.8 ms 推理，并展示多项下游任务。所有证据主要为装置历史数据离线评估。,"FusionMAE, a self-supervised pretrained model to optimize and simplify diagnostic and control of fusion plasma",https://www.nature.com/articles/s42005-026-02626-3,,FusionMAE 代码、权重与预训练管线,,not-public,,,图表/补充数据公开；完整 HL-3 训练数据需按 Southwestern Institute of Physics 流程正式申请。,装置离线大规模预训练与多任务验证；尚无公开实时控制部署。,跨装置泛化仍有限；长于约 10 ms 的时间动力学建模会退化，重建相关性不保证因果/物理正确，缺少校准不确定度和在线版本治理。,HL-3 | SUNIST-2 | 基础模型 | masked autoencoder | 多模态诊断 | 自监督学习
DIA-12,DIA-12,,diagnostics,diagnostics,,,Diag2Diag：DIII-D 多模态超分辨率合成 Thomson 诊断,2025,Princeton/PPPL、General Atomics、PlasmaControl 等,Thomson scattering 空间信息丰富但采样慢，而 ECE、干涉仪、磁诊断等快速信号空间/物理信息不完整；需要生成高频合成剖面以研究 ELM、RMP 和磁岛动力学。,先以 CNN 学习 ECE 到干涉仪谱图，再以 MLP 将 ECE、干涉仪、磁诊断、CER、MSE 等 236 个输入映射为 80 个 Thomson 输出；训练集覆盖约 4000 个 DIII-D 放电和 340 万时间点。,DIII-D：2017–2022 年多诊断数据；包括 ELM、RMP 和磁岛相关实验,E2,Nature Communications 报告谱图 L1 误差约 1.2×10^-3、自动编码器事件检测 F1 约 0.82，并用实际低频 Thomson、burst-mode 数据、前向物理关系和已知 ELM/RMP/磁岛行为交叉验证。论文明确指出没有 MHz Thomson 真值，合成诊断不能被理解为与真实诊断逐点完全等价。,Multimodal super-resolution: discovering hidden physics and its application to fusion plasmas,https://www.nature.com/articles/s41467-025-63492-1,,Diag2Diag-SRTS,https://github.com/PlasmaControl/Diag2Diag-SRTS,official-direct,,,代码和 shot list 公开；DIII-D 原始诊断数据仍需设施用户权限，论文 figure data 不等于完整训练集。,大规模装置离线验证、代码公开的合成诊断研究；尚非安全关键实时测量替代品。,不存在 MHz Thomson ground truth；相关性可在 OOD、传感器漂移或新运行场景下失效，必须以物理一致性和真实诊断抽样持续校准。,DIII-D | Diag2Diag | 合成诊断 | Thomson scattering | 超分辨率 | 多模态
DIA-08,DIA-08,,diagnostics,diagnostics,,,EFIT-Prime：DIII-D 物理约束深度集合平衡重建与不确定度,2024,Argonne National Laboratory、DIII-D/General Atomics 等,纯数据驱动平衡网络可能违反 Grad–Shafranov 约束且在新形状上不可靠，传统 EFIT 又难以满足更高频的重建需求。,以神经架构搜索得到深度集合，在监督损失中加入 Grad–Shafranov 电流/平滑与诊断位置约束，并用集合分散表达认知不确定度。,DIII-D：训练集中排除负三角度，再以负三角度放电测试外推,E2,论文报告模型可重建未参与训练的负三角度形状；深度集合一次推理约 15 ms，并展示误差与集合不确定度的关系，作者表述为经优化后具备实时潜力，而非已在 PCS 取代 EFIT。,EFIT-Prime: Probabilistic and Physics-Constrained Reduced-Order Neural Network Model for Equilibrium Reconstruction in DIII-D,https://doi.org/10.1063/5.0213609,,EFIT-Prime 训练代码、权重与 DIII-D 数据,,not-public,,,DIII-D 磁诊断与 EFIT 标签未公开为完整训练集。,离线高质量原型，接近实时预算但尚无公开在线部署证据。,仍受 EFIT 标签和 DIII-D 传感器布局约束；15 ms 集合计算、置信度校准、磁诊断共模故障和跨装置泛化需继续验证。,DIII-D | EFIT-Prime | 平衡重建 | 物理约束 | 深度集合 | 不确定度
DIA-10,DIA-10,,diagnostics,diagnostics,,,EAST 84 路磁诊断到二维磁通的深度平衡重建,2023,中国科学院合肥物质科学研究院/EAST 团队,EAST 的 EFIT 平衡重建难以在高频控制周期内输出完整二维磁通，且网络结构/超参数的手工选择影响泛化。,以 84 路磁诊断为输入、129×129（16641）个磁通网格值为输出，采用自动超参数搜索构建深度回归网络，并以 EFIT 重建作为监督标签。,EAST：MDSplus 历史放电，独立 4555 个平衡切片及 3 个未见完整放电测试,E2,论文报告 4555 个测试平衡中大多数相关系数超过 0.998；3 个未见完整放电的相对磁通误差通常小于 2%，X 点和 ramp 阶段差异更明显。结果证明离线快速重建，不等同于已在 EAST PCS 在线使用。,Fast reconstruction of EAST plasma equilibrium using deep learning,https://doi.org/10.1063/5.0152318,,EAST equilibrium deep network,,not-public,,,训练数据存储于 EAST MDSplus；论文未提供完整公开下载。,离线装置数据验证的快速重建原型。,完全继承 EFIT 标签；仅用磁输入，X 点/ramp 阶段误差较大，缺少不确定度、故障输入和在线时序/延迟验证。,EAST | 平衡重建 | 磁通 | EFIT | 超参数搜索 | MDSplus
DIA-09,DIA-09,,diagnostics,diagnostics,,,GS-DeepNet：KSTAR 无监督物理约束平衡重建,2023,KAIST、Korea Institute of Fusion Energy/KSTAR 等,传统自由边界平衡重建需要迭代和人工选择磁测量，而监督网络又继承 EFIT 标签，难以同时获得实时性、物理一致性和不确定度。,Maxwell Net 从磁探针/磁通环和空间坐标生成磁通，Force-Balance Net 学习压力与极向电流自由函数；两者由 Grad–Shafranov 方程、Biot–Savart 响应和实测边界联合自监督，并用 MC dropout 估计不确定度。,KSTAR：31 个可用磁探针的 BR/BZ 分量、45 个磁通环及总等离子体电流；41×41 极向网格,E2,Scientific Reports 论文在 KSTAR 数据上训练、验证和测试；磁边界量与网络输出的 R² 接近 1，代表性压力剖面与 Thomson scattering 在误差范围内相符，并以 MSE 磁倾角等内部诊断作独立比较。论文报告 RTX A4000 上重建 41×41 磁通小于 1 ms；没有公开证据表明其已成为在线权威平衡。,GS-DeepNet: mastering tokamak plasma equilibria with deep neural networks and the Grad–Shafranov equation,https://www.nature.com/articles/s41598-023-42991-5,,GS-DeepNet 训练代码与权重,,not-public,,,KSTAR 原始磁诊断、Thomson/MSE 比较数据未发布为完整公开训练集。,装置离线数据上的物理约束研究模型，推理预算满足实时潜力。,轴对称、诊断布局和壁/线圈响应高度 KSTAR 特定；快离子压力不可得、MC dropout 校准和真实传感器故障下的在线稳定性仍需验证。,KSTAR | GS-DeepNet | Grad-Shafranov | 无监督学习 | 平衡重建 | 不确定度
DIA-02,DIA-02,,diagnostics,diagnostics,,,Hybrid Deep Learner：C-Mod/DIII-D/EAST 跨机破裂预测,2021,MIT PSFC、DIII-D、EAST 合作团队,新装置破裂样本稀少，单机监督模型往往无法迁移到不同诊断配置和运行分布。,组合时间卷积、循环单元和多尺度特征，配合标签平滑/迁移策略，在三台装置间共享破裂表示。,Alcator C-Mod | DIII-D | EAST,E2,论文报告 AUC 分别约为 C-Mod 0.801、DIII-D 0.947、EAST 0.973；仅用 20 个 EAST 破裂样本并结合其他装置数据时仍达到约 0.959 AUC，8 核 CPU 推理约 1 ms。,Hybrid deep-learning architecture for general disruption prediction across multiple tokamaks,https://doi.org/10.1088/1741-4326/abc664,,Hybrid Deep Learner 原论文模型 | disruption-py, | https://github.com/MIT-PSFC/disruption-py,not-public | official-enabling, | , | ,三装置数据库均受设施访问与信号许可约束，未形成论文级完全公开数据包。,多装置离线基准与实时可行性证明。,仍需目标机归一化和少量目标域样本；AUC 不直接给出特定报警提前量下的误报成本，尚无公开装置闭环部署。,C-Mod | DIII-D | EAST | 破裂预警 | 迁移学习 | 多尺度时序
DIA-03,DIA-03,,diagnostics,diagnostics,,,JT-60U 高 β 破裂似然的稀疏可解释识别,2021,QST/JT-60U 团队,需要从大量相关参数中提炼少数可解释变量，识别高 β 放电接近破裂边界的程度。,穷举/稀疏特征选择结合线性支持向量机，选出归一化 β、伸长率、离子温度及 q=2 附近磁剪切等关键参数，并构造幂律形式似然边界。,JT-60U：历史高 β 放电,E2,论文对 JT-60U 历史数据库进行回顾性训练/测试，得到可由少数物理参数解释的破裂似然；未报告 JT-60SA 或在线控制部署。,Likelihood Identification of High-Beta Disruption in JT-60U,https://doi.org/10.1585/pfr.16.1402073,,JT-60U 稀疏选择与 SVM 实现,,not-public,,,JT-60U 历史放电数据库未公开为可下载基准。,离线、可解释的装置特定风险指标。,只覆盖特定高 β 破裂族；历史装置与新装置分布不同，线性边界和相关性变量不能当作因果机理或通用保护规则。,JT-60U | 高β | 破裂预警 | SVM | 稀疏特征 | 可解释性
DIA-06,DIA-06,,diagnostics,diagnostics,,,ASDEX Upgrade 软 X 射线 Gaussian Process Tomography 模型选择,2020,ASDEX Upgrade、IPFN 等,Gaussian process tomography 的核/先验模型选择若逐帧计算 Bayesian evidence，成本高且妨碍快速 SXR 层析。,训练卷积网络从 SXR 投影判断最高证据的 GPT 模型，再执行对应重建，并用前向投影残差检查与测量的一致性。,ASDEX Upgrade：软 X 射线诊断,E2,论文将神经网络分类与解析 Bayesian evidence 选择对比，并通过将重建前向投影回测量空间评估模型；它加速的是候选先验选择，不是从物理上证明发射率真值。,Deep learning for Gaussian process tomography model selection using the ASDEX Upgrade SXR system,https://arxiv.org/abs/2004.06429,,AUG SXR GPT 模型选择代码,,not-public,,,AUG SXR 训练和测试投影未公开为完整基准。,离线诊断算法研究。,候选模型集合是封闭的；网络可能在新辐射形态/几何漂移下误选，且前向残差不能唯一验证二维真值。,ASDEX Upgrade | SXR | Gaussian process tomography | 模型选择 | CNN
DIA-05,DIA-05,,diagnostics,diagnostics,,,JET 辐射层析与变分自编码器破裂前兆分析,2020,JET/Eurofusion、IPFN 等,仅用一维 bolometer 信号难以定位破裂前的辐射形态异常，需要把高速层析与无监督异常检测结合。,先以矩阵/学习代理快速生成二维 bolometer 层析，再用变分自编码器学习正常基线分布，以重建误差和潜变量偏移标记前兆。,JET：两个实验 campaign 的 baseline 放电,E2,论文在回顾性案例中识别出接近破裂时的辐射结构异常，并对比正常放电演化；尚未证明固定阈值可在实时系统中稳定满足误报/漏报要求。,Deep Learning for the Analysis of Disruption Precursors Based on Plasma Tomography,https://doi.org/10.1080/15361055.2020.1820749,,JET tomography + VAE 实现,,not-public,,,所用 JET baseline 数据与层析训练标签未公开。,离线前兆发现原型。,异常并不等于可控的因果前兆；阈值对 campaign、壁条件和运行场景敏感，缺少在线/跨装置验证。,JET | bolometer | VAE | 异常检测 | 破裂前兆 | 层析
DIA-01,DIA-01,,diagnostics,diagnostics,,,FRNN：DIII-D/JET 跨装置深度学习破裂预警,2019,Princeton/PPPL、General Atomics、JET/UKAEA 等,破裂前兆跨越多时间尺度和多诊断信号，手工阈值难以在保持提前量的同时兼顾漏报与误报。,以分布式训练的循环/序列神经网络直接处理多变量时间序列，并研究 DIII-D 与 JET 之间的迁移和跨装置泛化。,DIII-D | JET,E2,Nature 论文显示多数正确报警能提供数百毫秒提前量，并展示 DIII-D/JET 的双向迁移优于只依赖目标机少量数据；这优于约 30 ms 量级缓解触发需求，但仍存在误报和漏报。,Predicting disruptive instabilities in controlled fusion plasmas through deep learning,https://www.nature.com/articles/s41586-019-1116-4,,plasma-python / FRNN,https://github.com/PPPLDeepLearning/plasma-python,official-direct,,,完整 DIII-D/JET 信号与标签需设施授权；代码公开不等于训练数据公开。,经典跨机离线验证；算法代码公开，装置在线权威部署仍需本机再验证。,设备域偏移、标签/时间窗定义和类别不平衡会显著改变指标；缺少校准置信度、可解释故障树和直接控制闭环证据。,FRNN | DIII-D | JET | 破裂预警 | 跨装置迁移 | LSTM
DIA-04,DIA-04,,diagnostics,diagnostics,,,JET 深度学习 bolometer 辐射层析重建,2017,JET/Eurofusion、Instituto de Plasmas e Fusão Nuclear 等,bolometer 视线积分反演成二维辐射率分布需要迭代正则化，传统算法难以满足大规模回放和实时诊断。,以既有迭代层析结果为监督标签，训练上采样卷积网络将视线测量直接映射为约 196×115 的二维辐射图。,JET：overview bolometer 系统,E2,论文显示网络能以远快于迭代算法的速度复现其辐射图，并在像素/结构指标上取得高一致性；监督标签是算法重建而非独立真值。,Deep learning for plasma tomography using the bolometer system at JET,https://doi.org/10.1016/j.fusengdes.2016.11.006,,JET bolometer 深度层析代码与权重,,not-public,,,JET bolometer 原始数据和迭代重建标签未公开成训练基准。,奠基性的离线快速层析研究。,网络继承标签算法的先验与伪影；缺少测量噪声、几何漂移、OOD 和不确定度的在线验收，不能视作独立物理真值。,JET | bolometer | 层析 | 辐射率 | 卷积网络
energy-pulsed-pcs-modelica-fresa,energy-pulsed-pcs-modelica-fresa,,energy,energy,,,脉冲托卡马克 PCS–熔盐储热的动态 Modelica 与多智能体优化,2025,University College London；UK Atomic Energy Authority,脉冲托卡马克 dwell 期间热源骤降会冲击透平与电网；储热虽能平滑输出却显著增加体积和成本，需要动态而非仅稳态的设计优化。,用 Modelica 构建三热源、蒸汽 Rankine 循环和间接显热熔盐储热的动态模型，开发一相/两相换热器集总模型；以 Fresa.jl 黑箱植物繁殖算法和多智能体 fitness-ranking 协作求解单/双目标设计问题。,UKAEA 支持的 prototype pulsed fusion tokamak power-conversion concept | 未绑定已发电装置,E1,论文展示动态模型足够稳健和快速以嵌入优化；官方案例页报告熔盐罐体积可缩减最多 40.5%，同时保持相对稳定的透平入口条件。全部为模型计算。,A dynamic model of a power conversion system with indirect thermal energy storage for a pulsed fusion tokamak for use in design optimisation,https://doi.org/10.1016/j.fusengdes.2025.115289,,论文 PCS/储热 Modelica 模型 | Fresa.jl | OpenModelica, | https://github.com/ericsfraga/Fresa.jl | https://github.com/OpenModelica/OpenModelica,not-public | official-enabling | official-enabling, |  | , |  | ,论文输入与 Pareto 结果可读；完整动态轨迹、组件图谱和实验数据未公开。,聚变专用动态设计优化原型；首次把多智能体 ranking 用于该 PCS 设计，但不是自主运行智能体。,没有换热器、熔盐罐、透平或电网 HIL 验证；未覆盖故障、腐蚀/冻结、控制保护、RAMI、启停和多年退化。,pulsed tokamak | Modelica | thermal storage | Rankine | Fresa.jl | multi-agent | 多目标优化
energy-cfetr-sco2-genetic-optimization,energy-cfetr-sco2-genetic-optimization,,energy,energy,,,CFETR 双热源 sCO₂ Brayton 能量链的遗传算法与多准则优化,2023,"Institute of Plasma Physics, Chinese Academy of Sciences；University of Science and Technology of China",CFETR 脉冲运行且包层、偏滤器出口温度不同，需在热效率、火用效率、设备复杂度和单位产品成本之间寻找可行的热—电转换方案。,为包层与偏滤器双热源构造新型超临界 CO₂ Brayton 循环，设置高温熔盐与低温混凝土储热回路；用遗传算法和多准则优化同时搜索循环热效率、系统火用效率和总产品单位成本。,CFETR power conversion system 概念 | CFETR blanket 与 divertor 双热源,E1,论文基于 CFETR 第一冷却回路参数完成热力、火用、火用经济和敏感性计算，并给出优化运行方案；全部为概念电厂模型，未有 CFETR 发电回路实验。,Analyses and optimization of the CFETR power conversion system with a new supercritical CO2 Brayton cycle,https://doi.org/10.1088/1741-4326/acbe0d,,CFETR sCO2 循环模型与优化脚本,,not-public,,,论文表格和参数可用于人工重建；未发现机器可读的设计点、Pareto 集或模型数据集。,面向明确聚变电厂概念的优化研究；工程等级仍为前概念/概念设计。,循环部件偏离设计点、材料与腐蚀、熔盐冻结、控制策略、故障、RAMI 和电网瞬态未由试验验证；遗传算法最优只对既定模型与边界条件成立。,CFETR | sCO2 | Brayton | 储热 | 遗传算法 | 火用经济 | 多准则优化
energy-stellarator-brayton-rankine-ga,energy-stellarator-brayton-rankine-ga,,energy,energy,,,高场恒星器 Brayton–Rankine 联合循环的遗传算法优化,2023,Renaissance Fusion；University of Tuscia 等,连续运行、液态金属壁高温聚变电厂需要把多个温位的热量高效转化为电力，同时控制换热器、压缩机与汽轮机的系统复杂度。,建立以超临界 CO₂ Brayton 顶循环和水蒸气 Rankine 底循环组成的联合循环热力模型，用遗传算法搜索主要压力、温度和换热参数。,Renaissance Fusion 高场液态金属壁 stellarator power-plant 概念,E1,论文对特定恒星器概念报告约 51% PCS 效率和约 34% 整厂净效率；这是模型优化结果，不能泛化为已建成装置性能。,An optimized power conversion system for a stellarator-based nuclear fusion power plant,https://doi.org/10.1016/j.enconman.2022.116572,,恒星器联合循环模型与遗传算法实现,,not-public,,,论文设计参数和结果公开；无独立机器可读数据集。,企业聚变电厂概念的热力系统优化；尚未建成并联调。,高温液态金属接口、材料寿命、实际透平地图、辅机耗电、停机和维护假设决定净效率；无动态、控制、故障和实验验证。,stellarator | sCO2 | Brayton-Rankine | 遗传算法 | 净效率 | Renaissance Fusion
aux-east-cryoplant-expert-diagnosis,aux-east-cryoplant-expert-diagnosis,,auxiliary,auxiliary,,,EAST 2 kW/4 K 氦低温站实时故障诊断专家系统,2012,"Institute of Plasma Physics, Chinese Academy of Sciences",EAST 低温站设备和过程变量多，DCS 可报警却难以实时定位根因并向操作员给出处置建议，故障会破坏超导磁体冷却并中断实验。,把运行专家经验整理为 176 张 empirical knowledge tables，以含不确定性的 fault-tree analysis 构建知识库和推理机；用 Qt Creator/C++、MySQL 与低温 DCS 实时过程变量集成，提供监视、诊断和建议界面。,EAST 2 kW/4 K helium refrigerator | EAST helium distribution system | EAST cryogenic DCS,E3,论文说明已开发实时诊断系统并完成初步测试，结果满意；直接证据是实际 EAST 低温系统/DCS 的实时软件原型，不是机器学习统计模型，也未报告自动执行控制动作。,Design of a real-time fault diagnosis expert system for the EAST cryoplant,https://doi.org/10.1016/j.fusengdes.2012.04.016,,EAST cryoplant fault-diagnosis expert system,,not-public,,,176 条经验知识表、故障树和 EAST 低温站过程数据未公开。,真实聚变低温站上的实时专家系统原型；代表可解释知识驱动 AI，而非现代深度学习。,知识获取与维护高度依赖专家；论文只称 preliminary test，缺长期检出率、误报率和故障覆盖统计；无法自动适应新设备、传感器漂移与未知故障。,EAST | cryoplant | helium refrigerator | expert system | fault tree | DCS | real-time
aux-east-nbi-breakdown-neural,aux-east-nbi-breakdown-neural,,auxiliary,auxiliary,,,EAST-NBI 离子源击穿预测与参数匹配的 SOM/BP 神经网络,2021,"Institute of Plasma Physics, Chinese Academy of Sciences；University of Science and Technology of China",EAST 中性束离子源参数失配会导致引出过程击穿，损伤离子源并限制长脉冲高功率运行；传统 snubber 只能减轻电源损伤，不能预防事件。,结合多轮实验数据、先验等离子体模型信息和 OPTICS 特征提取，以 self-organizing map 与 back-propagation 网络估计可实现的束引出脉宽，并学习击穿前数毫秒的诊断信号畸变。,EAST neutral beam injector ion source | 未来 CFETR-NNBI（作者提出迁移目标，未验证）,E2,PPCF 论文与 IAEA 技术会议材料使用 EAST-NBI 历史实验数据并报告部分击穿被成功预报；作者同时明确成功率并不理想，因此只能认定为离线装置数据验证。,Breakdown prediction of ion source at EAST-NBI using neural network | EAST-NBI experimental data processing method based on improved OPTICS algorithm,https://doi.org/10.1088/1361-6587/ac2afd | https://doi.org/10.1016/j.fusengdes.2021.112737, | ,EAST-NBI SOM/BP breakdown predictor,,not-public,,,EAST-NBI 多轮束引出实验波形；未公开，论文未提供可下载 shot 列表与标签集。,真实 NBI 数据上的早期预警研究原型，尚未达到可靠保护或自动参数控制。,少数击穿才有明显前兆，论文承认成功率不高；标签不平衡、装置工况漂移、提前量和误停束代价需系统评估，CFETR 外推未验证。,EAST | NBI | ion source | breakdown | SOM | BP neural network | OPTICS | predictive maintenance
