id,projectId,primaryTask,relatedTasks,techniqueFamilies,title,technique,devices,evidenceLevel,deploymentLevel,paperTitles,paperUrls,codeNames,codeUrls,limitations
DG7-038,fd-diag-plasma-038,DG7,DG2 | DG10,LASER,偏滤器汤姆逊散射：脱靶区电子参数,family: LASER；name: 偏滤器汤姆逊散射 / DTS,DIII-D | KSTAR | ITER design,E3,D3,Divertor Thomson scattering on DIII-D | Physical aspects of divertor Thomson scattering implementation on ITER | Optimized collection optic design for divertor Thomson scattering diagnostics in KSTAR,https://doi.org/10.1016/s0920-3796(96)00616-3 | https://doi.org/10.1088/0029-5515/54/4/043007 | https://doi.org/10.1063/5.0218850,装置专有分析/标定软件 [not-public],,低Te谱窄且杂散光强；视线/激光偏移、辐照和偏滤器振动影响标定。
DG7-039,fd-diag-plasma-039,DG7,DG3 | DG4 | DG10,OPTICAL,Balmer/Stark偏滤器谱：脱靶、再结合与中性压力,family: OPTICAL；name: Balmer/Stark偏滤器光谱,TCV | MAST Upgrade | DIII-D | JET,E4,D4,Spectroscopic investigations of divertor detachment in TCV | Inference of divertor ionisation and recombination from Balmer spectroscopy,https://doi.org/10.1016/j.nme.2017.01.004 | https://arxiv.org/abs/1903.08157,OpenADAS [official-enabling] | Cherab [official-enabling] | 装置专有分析/标定软件 [not-public],https://open.adas.ac.uk | https://www.cherab.info | ,视线积分、分子过程、光学厚度和非平衡效应导致强模型依赖。
DG7-040,fd-diag-plasma-040,DG7,DG0 | DG8,ENGINEERING_SENSOR,石英晶体微天平：侵蚀/沉积在线质量通量,family: ENGINEERING_SENSOR；name: 石英晶体微天平 / QMB,JET | EAST | laboratory PWI facilities,E3,D3,Quartz microbalance: a time resolved diagnostic to measure material deposition in JET | Studies of the material erosion and deposition during the wall conditioning processes using quartz crystal microbalance in EAST,https://doi.org/10.1016/s0920-3796(03)00365-x | https://doi.org/10.1016/j.nme.2023.101576,装置专有分析/标定软件 [not-public],,温度、应力、辐照和非刚性沉积破坏简单质量关系；仅局部采样。
DG7-041,fd-diag-plasma-041,DG7,DG3 | DG8 | DG9,OPTICAL,LIBS/LIDS：壁材料与氚/氘库存原位诊断,family: OPTICAL；name: 激光诱导击穿/解吸光谱 / LIBS-LIDS,DIII-D/LIDS studies | ITER R&D | linear plasma facilities,E2,D2,"Deuterium detection and quantification by laser-induced breakdown spectroscopy and calibration-free analysis in ITER relevant samples | Time-resolved laser-induced desorption spectroscopy (LIDS) for quantified in-situ hydrogen isotope retention measurement and removal from plasma facing materials | Review of the ITER diagnostics suite for erosion, deposition, dust and tritium measurements",https://doi.org/10.1016/j.fusengdes.2019.03.109 | https://doi.org/10.1063/1.5100162 | https://doi.org/10.1016/j.jnucmat.2015.01.039,装置专有分析/标定软件 [not-public],,烧蚀具有微破坏性；基体效应、表面粗糙、光学污染和氚治理限制部署。
DG7-042,fd-diag-plasma-042,DG7,DG0 | DG4 | DG8,ENGINEERING_SENSOR,第一镜、尘埃与侵蚀/沉积综合监测,family: ENGINEERING_SENSOR；name: 壁材料综合诊断 / PWI monitoring,ITER R&D | JET | TEXTOR | DIII-D,E3,D3,"First mirror tests for ITER: Influence of material choice on the erosion/deposition mechanisms affecting optical reflectivity | Review of the ITER diagnostics suite for erosion, deposition, dust and tritium measurements | Plasma-Wall-Interaction Diagnostics in ITER: Dust, Erosion, and Tritium Retention",https://doi.org/10.1016/j.jnucmat.2007.01.024 | https://doi.org/10.1016/j.jnucmat.2015.01.039 | https://doi.org/10.13182/fst12-a13386,装置专有分析/标定软件 [not-public],,测量稀疏且维护周期长；沉积非均匀、镜面清洗改变表面，尘埃计数代表性有限。
DSI-035,iter-tsm-anomaly,DG8,DG0 | DG11,COMPUTATIONAL,ITER Tokamak Systems Monitor 工程系统机器学习异常检测,family: COMPUTATIONAL；methods: modular anomaly detection；inter-shot monitoring；time-localised detection；health indicators,ITER Tokamak Systems Monitor (pre-operational software and prototype-data context),E2,D2,Design and implementation of machine learning-based anomaly detection in the ITER Tokamak Systems Monitor,https://doi.org/10.3389/fphy.2026.1824578,ITER TSM tsmadkit / tsmadalg implementation [not-public],,当前证据是预运行原型与案例验证，不是 ITER 常规运行或安全资格；训练域覆盖、OOD、误报、网络安全、专家复核闭环和模型更新治理仍待投运验证。
PDT-001,iter-quench-detection,DG8,DG0 | DG11,ENGINEERING_SENSOR | COMPUTATIONAL,ITER 超导磁体多通道失超探测与抗噪监视,差分电压桥式失超探测与冗余保护监视,ITER,E2,D3,"3,000 sensors for detecting the quench | A High Voltage Signal Conditioner for the Quench Detection System of the ITER Superconducting Magnet",https://www.iter.org/node/20687/3000-sensors-detecting-quench | https://yonsei.elsevierpure.com/en/publications/a-high-voltage-signal-conditioner-for-the-quench-detection-system,ITER QDS production logic/configuration [not-public],,电压阈值受 ramp rate、耦合和噪声影响；仅测电压难定位 HTS 慢传播热点；诊断触发与最终 QPC 安全职责必须隔离。
PDT-002,jt60sa-magnet-cryogenic-monitoring,DG8,DG0 | DG11,ENGINEERING_SENSOR | COMPUTATIONAL,JT-60SA 磁体—低温联合状态监测与失超保护调试,磁体—低温联合状态监测与失超保护调试,JT-60SA,E3,D3,Monitoring and control of the magnet system of JT-60SA | Toroidal field magnet energized,https://doi.org/10.1016/j.fusengdes.2018.12.080 | https://www.jt60sa.org/wp/toroidal-field-magnet-energized,JT-60SA Magnet Controller/QPC logic [not-public],,commissioning 的受控触发覆盖有限，不能代替多年运行统计；模型阈值依赖 FLOWER/HEATER/SUPERMAGNET 假设和传感器校准。
PDT-003,east-coil-temperature-diagnostics,DG8,DG0 | DG11,ENGINEERING_SENSOR | COMPUTATIONAL,EAST 超导线圈出口温度技术诊断与安全联锁,超导线圈出口低温温度诊断与联锁,EAST,E4,D4,The Design of Data Acquisition System for EAST Technical Diagnostic System | Technical diagnosis system for EAST tokamak,https://arxiv.org/abs/1806.10663 | https://www.sciencedirect.com/science/article/pii/S0920379610002796,EAST TDS DAQ/interlock application [not-public],,出口温度是系统级滞后观测，不能独立定位局部热点；阈值、传感器漂移和通信故障需要独立诊断。
PDT-004,west-wall-monitoring-system,DG8,DG7 | DG9 | DG11,OPTICAL | COMPUTATIONAL,WEST 红外壁监视到射频功率退让的实时闭环,红外壁温监视、热点识别与射频功率退让,WEST,E4,D4,WEST operation with real time feed back control based on wall component temperature toward machine protection in a steady state tungsten environment,https://arxiv.org/abs/2101.01914,WEST WMS [not-public],,金属反射、发射率变化、沉积、遮挡和坏像素会造成假热点/漏检；阈值闭环不等于可证明安全。
PDT-005,west-divertor-fbg-temperature,DG8,DG0 | DG7,ENGINEERING_SENSOR,WEST 下偏滤器 FBG 多点温度长期监测,FBG 多点偏滤器温度长期监测,WEST,E4,D4,First temperature database achieved with Fiber Bragg Grating sensors in uncooled plasma facing components of the WEST lower divertor,https://doi.org/10.1016/j.fusengdes.2021.112528,WEST FBG processing [not-public],,FBG 同时受温度、应变与封装影响；高温退火、谱峰重叠和辐照漂移需持续标定。
PDT-006,w7x-thermal-event-detection,DG8,DG7 | DG11,OPTICAL | COMPUTATIONAL,W7-X 长脉冲热事件自动检测与图像数据库,长脉冲红外热事件自动检测与事件数据库,Wendelstein 7-X,E4,D4,Observation of thermal events on the plasma facing components of Wendelstein 7-X,https://arxiv.org/abs/1910.04270,W7-X thermal event detector [not-public],,标签受专家判断和 camera configuration 影响；长脉冲 OOD、遮挡和反射需独立质量位。
PDT-007,east-divertor-fbg-strain,DG8,DG0 | DG7,ENGINEERING_SENSOR,EAST 钨偏滤器 FBG 应变—温度监测研发,FBG 应变—温度解耦与高热流组件监测,EAST divertor mock-up | planned/partial EAST integration,E2,D2,Fibre Bragg grating sensors for fusion diagnostics: Temperature monitoring of a tungsten mono-block mock-up under high heat flux | R&D of a strain monitoring system for the EAST tungsten divertor,https://doi.org/10.1016/j.fusengdes.2019.111378 | https://www.sciencedirect.com/science/article/pii/S2352179117300662,FBG demodulation/FE comparison workflow [not-public],,温度—应变交叉敏感、封装传递函数和辐照效应尚需真机长期标定。
PDT-008,tokamak-structural-rom,DG8,DG0 | DG9 | DG11,ENGINEERING_SENSOR | COMPUTATIONAL,大型托卡马克真空室电磁载荷—结构位移实时降阶监测,电磁—结构降阶模型的实时位移/应变估计,large-scale tokamak models; device-specific validation pending,E1,D2,Reduced order modeling for real-time monitoring of structural displacements due to electromagnetic forces in large scale tokamaks,https://doi.org/10.1088/1361-6587/ad7889,IEM/FEM ROM implementation [not-public],,ROM 训练域、接触/间隙、塑性、支撑非线性和传感器偏置限制外推；必须经结构试验和真机事件验证。
PDT-009,textor-t10-vibration-monitoring,DG8,DG0 | DG1,ENGINEERING_SENSOR | COMPUTATIONAL,TEXTOR/T-10 运行中部件振动与位移测量,抗电磁干扰的部件振动与位移测量,TEXTOR | T-10,E4,D4,Vibration measurements of the tokamaks components of TEXTOR and T-10 in operation,https://doi.org/10.1016/s0920-3796(01)00433-1,TEXTOR/T-10 vibration DAQ [not-public],,老装置、低辐照、传感器带宽和布置不能直接代表现代超导机；位移传感本身可能受电磁环境影响。
PDT-010,iter-drga,DG8,DG0 | DG4 | DG11,PROBE_SAMPLING | COMPUTATIONAL,ITER 诊断残余气体分析器的燃料、氦灰与杂质监测,诊断残余气体质量谱与燃料/氦灰/杂质反演,ITER prototype,E2,D2,Description of the prototype diagnostic residual gas analyzer for ITER,https://doi.org/10.1063/1.4892157,ITER DRGA control/spectral analysis [not-public],,同质素/碎片谱重叠、取样管线延迟、壁记忆、污染和绝对校准会限制动态反演。
PDT-011,fusion-water-leak-tracer,DG8,DG0 | DG7 | DG11,PROBE_SAMPLING | ENGINEERING_SENSOR,聚变堆冷却水内漏的示踪气体—质量谱定位,水溶性示踪气体—四极杆质谱泄漏定位,ITER-relevant water-loop test,E2,D2,Development of water leak detection method in fusion reactors using water-soluble gas | Spectroscopic localization of water leaks in ITER,https://doi.org/10.1016/j.fusengdes.2007.06.025 | https://www.sciencedirect.com/science/article/pii/S0920379612005790,leak transport/localization model [not-public],,示踪溶解、壁吸附、多个并发泄漏、背景 QMS 峰和真实几何会破坏简单时间差定位；台架不能替代核设施资格。
PDT-012,jet-aghs-gas-chromatography,DG8,DG0 | DG4 | DG11,PROBE_SAMPLING | COMPUTATIONAL,JET 氚燃料循环在线气相色谱与物料衡算,在线气相色谱、氚过程组分与动态物料衡算,JET Active Gas Handling System,E4,D4,The analytical gas chromatographic system of the JET Active Gas Handling System — tritium commissioning and use during DTE1 | JET Active Gas Handling System—operating experience and lessons learned from recent D-T campaigns,https://doi.org/10.1016/s0920-3796(99)00090-3 | https://publikationen.bibliothek.kit.edu/1000179367,JET AGHS process control/accountancy [not-public],,取样延迟、记忆效应、手工转移和测量不确定度影响动态 inventory；历史 JET 系统不能直接满足未来监管要求。
PDT-013,demo-raman-tritium-analysis,DG8,DG0 | DG11,LASER | PROBE_SAMPLING | COMPUTATIONAL,DEMO 实时激光拉曼氚过程气体分析原型,实时激光拉曼过程气体分析与氚衡算原型,DEMO fuel-cycle prototype,E2,D2,Development of a compact real-time process gas analysis system for tritium accountancy for a DEMO fusion reactor by an application of laser Raman spectroscopy,https://doi.org/10.1016/j.fusengdes.2021.112502,Raman concentration/accountancy software [not-public],,光谱重叠、光路污染、辐照、流量/温压补偿和法规计量溯源仍待集成验证。
PDT-014,jet-exhaust-detritiation-monitoring,DG8,DG0 | DG11,PROBE_SAMPLING | ENGINEERING_SENSOR,JET 排气去氚系统腐蚀失效诊断与替换后运行监测,排气去氚系统腐蚀失效诊断与替换后运行监测,JET Active Gas Handling System,E4,D4,"JET Exhaust Detritiation System replacement—design, commissioning, and operation",https://scientific-publications.ukaea.uk/papers/jet-exhaust-detritiation-system-replacement-design-commissioning-and-operation,JET EDS control and monitoring [not-public],,特定卤素事件和化学工艺不能泛化为所有腐蚀模式；在线腐蚀速率与剩余寿命仍需模型/检验结合。
PDT-015,iter-remote-inspection-maintenance,DG8,DG0 | DG7 | DG11,OPTICAL | ENGINEERING_SENSOR | COMPUTATIONAL,ITER 在役远程视觉、计量与诊断维护,在役远程视觉、几何计量与机器人维护诊断,ITER remote handling prototypes | RACE mock-ups,E2,D2,The remote handling systems for ITER | Design and Prototyping of Remote Handling Electrical Connector for Diagnostic Rack in ITER | Remote handling confirmed,https://doi.org/10.1016/j.fusengdes.2011.01.138 | https://www.jspf.or.jp/PFR/PFR_articles/pfr2023/pfr2023_18-1405070.html | https://www.iter.org/node/20687/remote-handling-confirmed,ITER RH/IVVS control and digital work instructions [not-public],,mock-up 无法完全覆盖辐照、污染、视野退化、长时延和罕见 recovery；人的授权和应急接管不可省略。
PDT-016,iter-cooling-water-monitoring,DG8,DG0 | DG11,PROBE_SAMPLING | ENGINEERING_SENSOR | COMPUTATIONAL,ITER 冷却水系统的热工、水化学、氚与环境排放监测,冷却水热工、水化学、氚与环境排放综合监测,ITER cooling-water plant,E1,D2,ITER Cooling Water,https://www.iter.org/machine/supporting-systems/cooling-water,ITER TCWS/CCWS/HRS I&C [not-public],,官方设计参数不是运行统计；传感器冗余、校准、SIL/核安全分级和在线质量控制需项目文件确认。
PDT-017,eu-demo-bop-condition-monitoring-gap,DG8,DG0 | DG11,ENGINEERING_SENSOR | COMPUTATIONAL,EU-DEMO 能量转换与 BOP 状态监测的公开证据缺口,能量转换/BOP 状态监测需求与证据缺口分析,EU-DEMO conceptual BOP; no fusion-plant deployment,E0,D1,Water cooled lithium lead balance of plant indirectly coupled with power conversion system operated with small energy storage in EU DEMO,https://doi.org/10.1016/j.fusengdes.2025.115517,EU-DEMO BOP condition-monitoring implementation [not-public],,不能用常规电厂传感器清单冒充 fusion validation；脉冲热源、核边界、氚渗透和高可用率会改变故障模式。
PDT-018,w7x-coil-protection,DG8,DG0 | DG11,ENGINEERING_SENSOR | COMPUTATIONAL,W7-X 超导线圈独立保护与设备状态链,超导线圈独立保护与设备状态监测链,Wendelstein 7-X,E3,D3,Protection system for the superconducting coils in WENDELSTEIN 7-X,https://www.sciencedirect.com/science/article/abs/pii/S0920379603002667,W7-X coil protection logic [not-public],,旧设计论文不覆盖全部后续修改和运行统计；保护系统的安全完整性不能由论文推断。
PDT-019,nstxu-physics-engineering-data-archive,DG8,DG0 | DG10 | DG11,COMPUTATIONAL,NSTX-U 物理诊断与工程 EPICS 数据的统一可追溯归档,MDSplus/EPICS 物理—工程数据统一时间、配置与证据归档,NSTX-U,E2,D2,NSTX-U Data Management Plan,https://sites.google.com/a/pppl.gov/nstx-u/research/data-management-plan,MDSplus [official-enabling] | NSTX-U Web Tools [official-enabling],https://github.com/MDSplus/mdsplus | https://nstx.pppl.gov/software-tools/WebTools/index.html,共用 shot number 不自动保证单位、时钟、坐标、质量位和数据版本一致；不同仓库权限和生命周期仍需编排。
PDT-020,sparc-diagnostic-environmental-qualification,DG8,DG0 | DG5 | DG11,ENGINEERING_SENSOR | COMPUTATIONAL,SPARC 诊断电子学与部件的强场、辐照、热、真空环境资格,强磁、辐照、热、真空环境下的诊断部件资格与健康评估,SPARC diagnostic prototypes,E2,D2,Overview of the early campaign diagnostics for the SPARC tokamak (invited) | Progress on the design and prototyping of SPARC diagnostics,https://doi.org/10.1063/5.0218254 | https://meetings-archive.aps.org/dpp/2023/jp11/136,SPARC qualification database and diagnostic configuration [not-public],,单件环境试验不覆盖组合环境、长期活化和维护退化；设计成熟度不能写成 plasma 性能。
DG6-033,fd-diag-plasma-033,DG9,DG6 | DG10,LASER,W7-X 相位衬度成像合成诊断,family: LASER；name: 相位衬度成像 / PCI,DIII-D | Alcator C-Mod | TCV | W7-X,E1,D2,Development of a synthetic phase contrast imaging diagnostic for turbulence studies at Wendelstein 7-X,https://doi.org/10.1088/1361-6587/ac7ad2,装置专有分析/标定软件 [not-public],,线积分导致径向定位弱；振动、折射和有限光学传递函数改变谱。
DSI-009,cherab-raysect,DG9,DG3 | DG4 | DG7,OPTICAL,CHERAB–Raysect 三维光谱与辐射合成诊断,family: OPTICAL；methods: Monte Carlo ray tracing；spectral emission models；CAD geometry；instrument function,ASDEX Upgrade | JET | MAST Upgrade | ITER design studies,E3,D2,Description of complex viewing geometries of fusion tomography diagnostics by ray-tracing | CHERAB Spectroscopy Modelling Framework,https://doi.org/10.1063/1.5031087 | https://doi.org/10.5281/zenodo.1206142,CHERAB Core [official-direct] | Raysect [official-enabling] | CHERAB-IMAS [official-direct],https://github.com/cherab/core | https://github.com/raysect/source | https://github.com/cherab/imas,计算成本受光子数与复杂 CAD 影响；表面反射、原子数据和时变光学污染的不确定度常未联合传播。
DSI-010,cherab-ts,DG9,DG2,LASER,CHERAB 汤姆孙散射合成诊断模块,family: LASER；methods: Selden spectrum；ray tracing；spectrometer response；photon statistics,COMPASS | generic tokamak TS designs,E2,D2,Thomson scattering synthetic diagnostic module for the Cherab framework,https://doi.org/10.1063/5.0043786,CHERAB Thomson scattering module [official-direct],https://github.com/cherab/core,真实杂散光、探测器非线性、辐照退化和脉冲间漂移需要装置特定模型；示例不构成多装置绝对计量验证。
DSI-011,fidasim,DG9,DG3 | DG5,NUCLEAR_PARTICLE,FIDASIM 快离子 Dα 与中性粒子分析器合成诊断,family: NUCLEAR_PARTICLE；methods: neutral-beam deposition；collisional-radiative model；Monte Carlo halo neutrals；spectral forward model,DIII-D | ASDEX Upgrade | MAST | NSTX-U | W7-X and others,E3,D3,Progress in modelling fast-ion D-alpha spectra and neutral particle analyzer fluxes using FIDASIM,https://doi.org/10.1088/1361-6587/aba8d7,FIDASIM [official-direct],https://github.com/D3DEnergetic/FIDASIM,原子截面、halo neutrals、3D 场、被动背景和相空间欠定性限制反演；运行成本高于实时需求。
DSI-012,soft,DG9,DG5 | DG7,OPTICAL,SOFT 逃逸电子同步辐射合成诊断,family: OPTICAL；methods: guiding-center orbit following；synchrotron emission；camera/spectrometer projection；Green functions,Alcator C-Mod | TCV | ASDEX Upgrade | JT-60SA design | SPARC design | FTU | EAST,E3,D2,SOFT: a synthetic synchrotron diagnostic for runaway electrons | Synthetic measurements of runaway electron synchrotron emission in the SPARC tokamak,https://doi.org/10.1088/1741-4326/aa9abb | https://doi.org/10.1063/5.0219477,SOFT [official-direct],https://github.com/hoppe93/SOFT,逃逸电子分布通常外部给定且反演不唯一；壁反射、背景、3D 扰动和碰撞/辐射动力学误差需联合评估。
DSI-013,tofu,DG9,DG4 | DG7 | DG10,OPTICAL,ToFu 三维几何、辐射前向模型与层析工具箱,family: OPTICAL；methods: 3D diagnostic geometry；line integration；visibility matrix；tomographic inversion,WEST | JET/ITER-oriented geometries | generic tokamaks and stellarators,E2,D2,ToFu official documentation,https://tofuproject.github.io/tofu/index.html,ToFu [official-direct],https://github.com/ToFuProject/tofu,物理发射模型覆盖不如专用光谱代码；复杂反射、非线性探测器和完整协方差需外接。
DSI-015,xicsrt,DG9,DG3 | DG4,OPTICAL,XICSRT 晶体 X 射线成像光谱射线追踪,family: OPTICAL；methods: photon Monte Carlo；Bragg diffraction；crystal rocking curve；detector projection,W7-X | ITER XRCS-Core design | NIF-related crystal systems,E2,D2,XICSRT documentation | Synthetic modeling of ITER XRCS-Core diagnostic,https://xicsrt.readthedocs.io | https://meetings-archive.aps.org/dpp/2020/jp13/96,XICSRT [official-direct],https://github.com/PrincetonUniversity/xicsrt,等离子体发射与原子模型需外部输入；晶体缺陷、辐照漂移和背景散射模型有限。
DSI-016,ecrad,DG9,DG2,MICROWAVE,ECRad 电子回旋辐射输运与 ECE 合成诊断,family: MICROWAVE；methods: geometrical optics；radiative transfer；relativistic absorption/emission；warm resonance,ASDEX Upgrade | TCV | ITER-oriented studies | various ECE systems,E3,D3,ECRad: An electron cyclotron radiation transport solver for advanced data analysis in thermal and non-thermal fusion plasmas,https://doi.org/10.1016/j.cpc.2020.107175,ECRad [official-direct],https://github.com/AreWeDreaming/ECRad,几何光学在强衍射/模式转换条件受限；分布函数、壁反射和磁场误差会产生结构性偏差。
DSI-017,refmul-family,DG9,DG2 | DG6,MICROWAVE,REFMUL 系列反射计全波合成诊断,family: MICROWAVE；methods: 2D/3D FDTD；full-wave propagation；turbulent density fields；antenna response,ASDEX Upgrade | JET | DIII-D/KSTAR imaging-reflectometry studies | DEMO design studies,E3,D2,An overview of the evolution of the modeling of reflectometry diagnostics in fusion plasmas using finite-difference time-domain codes | On the edge turbulence effects on the density profile reconstruction using O-mode reflectometers,https://doi.org/10.1016/j.fusengdes.2024.114354 | https://doi.org/10.1016/j.fusengdes.2021.112652,REFMUL/REFMULF/REFMUL3 [not-public],,3D 全波计算昂贵；边界条件、天线近场和湍流输入决定结果，专用实现未发现可核验公共仓库。
DSI-018,xgc1-synthetic-bes,DG9,DG2 | DG6,OPTICAL,XGC1—BES 全光学合成诊断,family: OPTICAL；methods: gyrokinetic turbulence input；beam emission model；3D optical integration；detector point-spread function,DIII-D-like BES geometry with XGC1 edge simulations,E2,D2,Synthetic diagnostic for the beam emission spectroscopy diagnostic using a full optical integration,https://doi.org/10.1088/1361-6587/aa5234,XGC1-BES synthetic diagnostic workflow [not-public] | XGC [not-public], | ,验证依赖特定模拟和诊断几何；XGC1/原子发射/光学误差未形成统一后验，专用流水线未公开。
DSI-019,ascot5-synthetic-fi,DG9,DG5,NUCLEAR_PARTICLE,ASCOT5 快离子轨道与多诊断合成响应,family: NUCLEAR_PARTICLE；methods: Monte Carlo orbit following；collisions；wall intersections；diagnostic weight functions,ASDEX Upgrade | DIII-D | JET | ITER | SPARC | W7-X,E3,D2,High-performance orbit-following code ASCOT5 for Monte Carlo simulations in fusion plasmas | Comparative study of fast-ion diagnostics using orbit-following simulations,https://arxiv.org/abs/1908.02482 | https://arxiv.org/abs/1910.03284,ASCOT5 [official-direct],https://github.com/ascot4fusion/ascot5,它是粒子物理教师模型而非统一仪器模拟器；诊断响应常由外部代码完成，计算成本高且输入场误差显著。
DSI-020,dress-pydress,DG9,DG5,NUCLEAR_PARTICLE,DRESS/pydress 任意反应物分布的聚变中子谱合成,family: NUCLEAR_PARTICLE；methods: fusion kinematics；Monte Carlo velocity distributions；differential cross sections；spectral synthesis,MAST | generic D-D/D-T devices | ITER/DEMO scenario studies,E3,D2,Calculating fusion neutron energy spectra from arbitrary reactant distributions | Validation of neutron emission and neutron energy spectrum calculations on a Mega Ampere Spherical Tokamak with directional relativistic spectrum simulator,https://doi.org/10.1016/j.cpc.2015.10.010 | https://doi.org/10.1088/1361-6587/abca7d,pydress [official-direct],https://github.com/jacob-eri/pydress,不含完整装置中子输运和探测器响应；反应物分布误差、核数据与背景会耦合。
DSI-021,scintsuite-fildsim,DG9,DG5 | DG7,NUCLEAR_PARTICLE,ScintSuite/FILDSIM 快离子损失探针合成诊断,family: NUCLEAR_PARTICLE；methods: charged-particle orbit tracing；collimator geometry；scintillator strike map；camera response,ASDEX Upgrade | W7-X | DIII-D and other FILD-equipped devices,E3,D2,A new FILDSIM model for improved velocity-space sensitivity modelling and reconstructions | Development of a scintillator based fast-ion loss detector for the Wendelstein 7-X stellarator | Validation of a synthetic fast ion loss detector model for Wendelstein 7-X,https://doi.org/10.1088/1361-6587/ad268f | https://doi.org/10.1016/j.fusengdes.2024.114520 | https://doi.org/10.1088/1741-4326/ad6885,ScintSuite [official-direct] | ASCOT5 [official-enabling],https://github.com/JoseRuedaRueda/ScintSuite | https://github.com/ascot4fusion/ascot5,探针扰动、材料退化、饱和和真实入射分布不确定；相机强度的绝对通量解释仍困难。
DSI-022,renate,DG9,DG2 | DG6,OPTICAL,RENATE 三维束发射光谱合成诊断,family: OPTICAL；methods: collisional-radiative rate equations；beam attenuation；3D optics；detector integration,KSTAR | EAST | HSX studies | ITER neutral beam test facilities,E3,D2,Three-dimensional modeling of beam emission spectroscopy measurements in fusion plasmas,https://doi.org/10.1063/1.4764564,RENATE/RENATE-OD [not-public],,原始实现与后续 RENATE-OD 的公开可复现性有限；高阶原子态和复杂束组分带来核数据偏差。
DSI-014,trippy,DG10,DG9 | DG4 | DG7,OPTICAL,TRIPPy 环形辐射视线与反演协议,family: OPTICAL；methods: ray tracing in toroidal geometry；equilibrium mapping；response matrix；radiation inversion,Alcator C-Mod | NSTX-U,E3,D2,"eqtools: Modular, extensible, open-source, cross-machine Python tools for working with magnetic equilibria",https://doi.org/10.1016/j.cpc.2016.09.011,TRIPPy [official-direct] | eqtools [official-enabling],https://github.com/icfaust/TRIPPy | https://github.com/PSFCPlasmaTools/eqtools,维护活跃度、文档和现代测试覆盖有限；本质是几何/反演工具，不含完整原子辐射物理。
DSI-023,minerva,DG10,DG1 | DG2 | DG3 | DG4,COMPUTATIONAL,Minerva 贝叶斯诊断建模与模型数据融合框架,family: COMPUTATIONAL；methods: Bayesian graphical models；forward models；probabilistic programming；joint posterior,JET | W7-X | MAST and framework applications,E3,D2,Current tomography for axisymmetric plasmas | Model data fusion | Integrated data analysis with Minerva at W7-X,https://doi.org/10.1088/0741-3335/50/8/085002 | https://arxiv.org/abs/1002.3189 | https://conferences.iaea.org/event/251/contributions/20678,Minerva [not-public],,专有/合作代码未公开；复杂前向模型导致采样昂贵，模型误差常被简化为高斯噪声，难以实时化。
DSI-024,aug-ida,DG10,DG2,COMPUTATIONAL,ASDEX Upgrade 电子温度—密度集成数据分析,family: COMPUTATIONAL；methods: Bayesian integrated data analysis；joint profile inference；diagnostic alignment；nuisance parameters,ASDEX Upgrade,E3,D3,Integrated Data Analysis of Profile Diagnostics at ASDEX Upgrade,https://doi.org/10.13182/fst10-110,ASDEX Upgrade IDA/Minerva workflow [not-public],,计算与前向模型维护成本高；磁面假设、异常分布和模型失配会使可信区间过窄。
DSI-025,jet-microwave-minerva,DG10,DG2,MICROWAVE,JET 微波诊断联合贝叶斯反演,family: MICROWAVE；methods: joint ECE/reflectometry forward models；Bayesian inference；wall-reflection nuisance model,JET,E3,D2,Bayesian inference using JET’s microwave diagnostic system,https://doi.org/10.1088/1741-4326/ab7d51,JET Minerva microwave workflow [not-public] | SPECE [not-public], | ,SPECE 等高保真前向模型较慢；墙反射和非热分布模型简化，难以直接实时部署。
DSI-026,tomotok,DG10,DG4 | DG7,COMPUTATIONAL,Tomotok 辐射层析 Python 工具包,family: COMPUTATIONAL；methods: minimum Fisher regularisation；SVD；generalised eigenvalue；biorthogonal basis；synthetic tests,COMPASS and generic tokamaks,E2,D2,Tomotok: python package for tomography of tokamak plasma radiation,https://doi.org/10.1088/1748-0221/16/12/c12015,Tomotok [official-direct],https://github.com/Tomotok/core,主要是线性二维层析；复杂 3D、非高斯误差、反射和完整不确定度需扩展。
DSI-027,fast-ion-vspace-tomo,DG10,DG5,NUCLEAR_PARTICLE,快离子速度空间贝叶斯层析,family: NUCLEAR_PARTICLE；methods: diagnostic weight functions；Tikhonov Bayesian inversion；multi-diagnostic tomography,ASDEX Upgrade | JET,E3,D2,Bayesian Integrated Data Analysis of Fast-Ion Measurements by Velocity-Space Tomography,https://doi.org/10.1080/15361055.2017.1380482,Fast-ion velocity-space tomography workflow [not-public] | FIDASIM [official-enabling], | https://github.com/D3DEnergetic/FIDASIM,权重函数依赖平衡、背景等离子体和原子/核模型；正则化可制造平滑结构，空间—速度联合反演仍昂贵。
DSI-028,bite-aurora,DG10,DG3 | DG4,COMPUTATIONAL,BITE/Aurora 贝叶斯杂质输运与多谱线反演,family: COMPUTATIONAL；methods: nested sampling；impurity transport forward model；atomic emission synthesis；Bayesian model selection,Alcator C-Mod,E3,D2,Inference of experimental radial impurity transport on Alcator C-Mod: Bayesian parameter estimation and model selection | Particle transport constraints via Bayesian spectral fitting of multiple atomic lines,https://doi.org/10.1088/1741-4326/abae85 | https://doi.org/10.1063/5.0043765,BITE [not-public] | Aurora [official-enabling], | https://github.com/fsciortino/Aurora,参数化和父模型偏差可主导结果；嵌套采样昂贵，原子数据相关误差难以完整表示。
